timestamp,close,signal,rsi,trend_strength,momentum_short,momentum_long,macd_hist
2025-01-01 00:00:00,1.762,HOLD,HOLD,HOLD,HOLD,HOLD,0.0
2025-01-01 01:00:00,1.752,HOLD,HOLD,HOLD,HOLD,HOLD,-0.000638176638176624
2025-01-01 02:00:00,1.76,HOLD,HOLD,HOLD,HOLD,HOLD,-0.000492723273350002
2025-01-01 03:00:00,1.758,HOLD,HOLD,HOLD,-0.002270147559591429,HOLD,-0.000500784331980391
2025-01-01 04:00:00,1.762,HOLD,HOLD,HOLD,0.005707762557077611,HOLD,-0.0002205953114545294
2025-01-01 05:00:00,1.751,HOLD,HOLD,HOLD,-0.005113636363636376,HOLD,-0.0007311868730204369
2025-01-01 06:00:00,1.748,HOLD,HOLD,HOLD,-0.005688282138794132,HOLD,-0.0011984504967770771
2025-01-01 07:00:00,1.749,HOLD,HOLD,HOLD,-0.007377979568671922,HOLD,-0.00135606011086797
2025-01-01 08:00:00,1.723,HOLD,HOLD,HOLD,-0.01599086236436309,HOLD,-0.0030313086220687038
2025-01-01 09:00:00,1.721,HOLD,HOLD,HOLD,-0.015446224256292829,HOLD,-0.00403143160010863
2025-01-01 10:00:00,1.722,HOLD,HOLD,HOLD,-0.015437392795883409,-0.022701475595913734,-0.004355329434640052
2025-01-01 11:00:00,1.732,HOLD,HOLD,HOLD,0.0052234474753336535,-0.011415525114155223,-0.0036541175390435556
2025-01-01 12:00:00,1.746,HOLD,HOLD,HOLD,0.01452643811737353,-0.007954545454545436,-0.002083546282249058
2025-01-01 13:00:00,1.731,HOLD,HOLD,HOLD,0.005226480836237002,-0.015358361774743923,-0.0018963727879494803
2025-01-01 14:00:00,1.738,HOLD,39.473684210526294,HOLD,0.0034642032332563577,-0.01362088535754824,-0.001177787333005189
2025-01-01 15:00:00,1.766,HOLD,55.30303030303031,HOLD,0.01145475372279492,0.008566533409480437,0.0011790627625014845
2025-01-01 16:00:00,1.755,HOLD,48.14814814814811,HOLD,0.013864818024263315,0.004004576659038861,0.0019476192083111446
2025-01-01 17:00:00,1.771,HOLD,54.362416107382515,HOLD,0.018987341772151778,0.012578616352201033,0.0033990128709216264
2025-01-01 18:00:00,1.786,HOLD,57.5,HOLD,0.011325028312570762,0.03656413232733602,0.005130746516459112
2025-01-01 19:00:00,1.788,HOLD,62.25165562913912,HOLD,0.01880341880341896,0.03893085415456121,0.006106087854170413
2025-01-01 20:00:00,1.802,BUY,66.66666666666666,0.778385791489022,0.017504234895539428,0.04645760743321725,0.007308103098949982
2025-01-01 21:00:00,1.85,BUY,74.16267942583731,1.3844111511473534,0.035834266517357216,0.06812933025404155,0.010742325456470123
2025-01-01 22:00:00,1.822,BUY,73.45971563981041,1.7887563884157032,0.019015659955257336,0.043528064146620915,0.010520997993646374
2025-01-01 23:00:00,1.806,BUY,68.88888888888887,1.9458773327571823,0.002219755826859071,0.0433275563258233,0.008761877557732688
2025-01-02 00:00:00,1.83,BUY,71.7741935483871,2.2787002345076615,-0.010810810810810811,0.05293440736478705,0.008663850739752881
